time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.222451538,450.093908889,449.910488942,450.051066069
0.06,2.40912411707e-08,3.0244740123e-08,0.00426419853297,3.52415180886e-05,6.28315395071,0.0,2.47744350139e-06,2.94282773133e-06,0.14213210532,0.00173703360709,-0.00158895707828,0.0,351.638892376,431.928819159,380.465104167,390.430473316
0.12000000000000001,-0.00038742353222,8.01027581262e-06,0.0115544560483,0.00410191043962,0.140961124973,0.0,-0.0236737914142,0.000506555139548,0.100405060576,0.107183729121,0.860339260068,0.0,448.338058381,449.26363521,449.391139635,448.866395924
0.18,-0.00507856829846,0.000152405682043,0.0214851521009,0.0104083284887,0.192615321182,0.0,-0.138187879453,0.00497874732807,0.229716893388,0.100595436734,0.86201128865,0.0,446.606522444,451.19313302,449.092176226,452.881091568
0.23999999999999996,-0.0177706690435,0.000700518426667,0.0390632025287,0.0177445419467,0.245629752681,0.0,-0.290436099308,0.0140024181632,0.354978733358,0.147363371989,0.908476955358,0.0,444.917001465,452.037320279,448.2671358,453.143485813
0.3,-0.0407321613646,0.00195356415029,0.0638435127825,0.028388035217,0.302641840661,0.0,-0.480798728528,0.0287766217499,0.469348519598,0.207377601907,0.984749096084,0.0,443.486563857,453.464876017,446.880248881,452.978498376
0.36000000000000004,-0.076319065387,0.00432080784036,0.0950699811245,0.0432555111393,0.365911407398,0.0,-0.711762235267,0.0514975221506,0.569245705305,0.282051538095,1.09394709969,0.0,441.813131738,455.17356672,444.466174942,452.457680043
0.4200000000000001,-0.12706162746,0.00835234989854,0.131707136801,0.0636985334144,0.438133451162,0.0,-0.986638690651,0.0846630040107,0.648852522332,0.379208844409,1.24128768801,0.0,439.815234833,457.088041826,440.967653908,451.311064375
0.48000000000000015,-0.195712270652,0.0147564253726,0.172305006596,0.0915264508194,0.522476344474,0.0,-1.30948770259,0.131022311162,0.700054181383,0.503642200269,1.4315151876,0.0,437.288532897,458.460960556,436.992015777,449.642473142
0.5400000000000001,-0.28527712247,0.0244030609939,0.214845088556,0.128505158587,0.621852736145,0.0,-1.68455717195,0.193095917093,0.711916930079,0.653647827498,1.66178856041,0.0,434.861492785,460.051721201,431.501601155,446.993884495
0.6000000000000002,-0.398991439602,0.0382797320412,0.256560677914,0.176753511242,0.739038281746,0.0,-2.11502908488,0.272106756467,0.670363359641,0.833825341976,1.93060593801,0.0,432.431934399,461.661188163,424.617945182,443.780669551
0.6600000000000003,-0.540212559498,0.0573757035543,0.293749202375,0.239053597688,0.87642718956,0.0,-2.60149661744,0.366650808539,0.558300437801,1.0514608665,2.23454581079,0.0,430.005459303,463.197092686,416.372268647,439.424177056
0.7200000000000003,-0.712186068107,0.0824660793959,0.321600074413,0.317983687072,1.03584727862,0.0,-3.13927931906,0.47060965221,0.356148608056,1.30522047882,2.56835865047,0.0,427.46196395,464.201021872,406.990313117,434.236879178
0.7800000000000004,-0.9176666748,0.11375665126,0.334139264394,0.416000217736,1.2179881408,0.0,-3.71636547958,0.57080299254,0.0453363000201,1.59382115323,2.92200512233,0.0,425.670285427,464.722323761,395.849512101,428.125442333
0.8400000000000004,-1.15843775817,0.15042161625,0.324451983408,0.535999852888,1.42144420942,0.0,-4.31231754489,0.646025695234,-0.385901875103,1.92035413913,3.27622104085,0.0,424.004687487,464.992856789,383.270485982,421.134361847
0.9000000000000005,-1.43483076546,0.190159899344,0.285295804459,0.680480183036,1.64516313852,0.0,-4.8996556244,0.668653905434,-0.935844106596,2.28295798021,3.62309726511,0.0,423.060648726,463.934756954,370.404537312,412.86303278
0.9600000000000005,-1.74544035516,0.228926047911,0.210054908756,0.849110293861,1.8852283442,0.0,-5.44878210955,0.609039230014,-1.58477726465,2.66206389246,3.935600861,0.0,422.715600977,461.719853882,356.673524791,403.167594076
1.0200000000000005,-2.08715844812,0.261001108432,0.0938440353746,1.0408070551,2.13775131341,0.0,-5.93316181576,0.441816346665,-2.29525170373,3.04321078643,4.19358000297,0.0,422.473000928,458.95152038,342.733805987,392.540818485
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.90802013,450.216846471,450.196070592,450.094658031
0.06,-7.18357469169e-08,-1.92934058574e-08,0.00426755174847,6.2831604994,7.87570436396e-05,0.0,-6.78933551361e-06,-1.97186855471e-06,0.142243868201,-0.00125355866483,0.00381666873183,0.0,579.114167128,479.543666335,474.458695045,470.984194936
0.12000000000000001,-0.00173480595827,-3.86758493278e-07,0.0223908741587,6.28252227276,0.318031596899,0.0,-0.102612368749,-3.4835046516e-05,0.45678008749,-0.0463503845386,-1.43835478233,0.0,574.759868778,478.606561114,472.842326449,468.44827485
0.18,-0.0173756895484,-3.05901609073e-05,0.0574872450505,6.27914265051,0.504554522222,0.0,-0.444094317426,-0.00130271984547,0.702586012334,-0.103091066015,-2.77976625513,0.0,550.635556321,476.952768545,474.371613889,426.979288488
0.23999999999999996,-0.0561495966008,2.57747153923e-06,0.104193165081,0.0350847309593,0.45783530096,0.0,-0.844561028151,0.00739411970228,0.855970420073,-0.688063463905,-3.6915883324,0.0,439.217666224,458.288774236,446.08972075,459.361702386
